,genotype,fitness,tree_depth,phenotype,other_info,mapping_values
0,"[[0], [0, 1, 1, 0, 0, 3, 2, 0, 2, 2], [3, 1, 2, 0], [0, 1], [0], [0, 0, 0, 0, 0], [0], [1, 0, 0, 3, 3, 8, 2, 3, 6, 2, 2, 2, 1, 2, 5, 6, 0, 7, 8, 0, 1, 5, 8]]",0.6424560062831217,8,0.100+(((_exp_((_exp_((x[0]-33.82)|_div_|36.22)))))|_div_|(((x[0])-(21.25))*((60.78)+(01.58)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 10, 4, 2, 1, 5, 1, 23]"
1,"[[0], [1], [], [2], [], [0], [0, 0], [2, 9, 3, 7, 7, 7, 9, 7, 0, 3]]",2.8004956311645164,5,0.293+((_sig_(0.777*(x[0]-97.03)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
2,"[[0], [1], [], [2], [], [0], [0, 0], [3, 1, 9, 7, 4, 5, 9, 3, 0, 5]]",3.475441276463756,5,0.319+((_sig_(0.745*(x[0]-93.05)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
3,"[[0], [0, 1, 0, 0, 3, 1, 3], [3, 2, 0], [2, 1], [0, 0], [0, 0, 0], [0, 0], [4, 2, 6, 3, 1, 9, 6, 7, 0, 5, 4, 3, 1, 4, 9, 8, 2, 2]]",3.6045931093833086,8,0.426+(((_sig_(0.319*(x[0]-67.05))))|_div_|(((x[0])*((_exp_((x[0]-43.14)|_div_|98.22))))+(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 7, 3, 2, 2, 3, 2, 18]"
4,"[[0], [0, 1, 1, 3], [3], [0, 2], [0], [0], [0, 0], [3, 4, 3, 1, 2, 8, 0, 7, 5, 7]]",3.8083125146222234,8,0.343+(((_exp_((_sig_(0.128*(x[0]-07.57))))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 4, 1, 2, 1, 1, 2, 10]"
5,"[[0], [0, 1, 2], [3], [2], [], [0, 0], [0, 0], [4, 8, 8, 2, 5, 2, 5, 2, 9, 8, 9, 1, 0, 0]]",4.2232426541661,6,0.488+(((_sig_(0.252*(x[0]-52.98))))|_div_|(91.00)),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 1, 0, 2, 2, 14]"
6,"[[0], [1], [], [2], [], [0], [0, 0], [1, 9, 6, 0, 2, 7, 8, 5, 1, 1]]",4.271370613943928,5,0.196+((_sig_(0.027*(x[0]-85.11)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
7,"[[0], [0, 1, 2], [3], [2], [], [0, 0], [0, 0], [5, 1, 1, 1, 3, 4, 5, 1, 4, 5, 0, 8, 6, 8]]",4.900483234636641,6,0.511+(((_sig_(0.134*(x[0]-51.45))))|_div_|(08.68)),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 1, 0, 2, 2, 14]"
8,"[[0], [1], [], [2], [], [0], [0, 0], [1, 1, 6, 2, 8, 2, 6, 7, 3, 8]]",4.916656886379611,5,0.116+((_sig_(0.282*(x[0]-67.38)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
9,"[[0], [1], [], [2], [], [0], [0, 0], [1, 9, 4, 9, 4, 1, 7, 2, 9, 3]]",4.937497488420643,5,0.194+((_sig_(0.941*(x[0]-72.93)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
10,"[[0], [1], [], [2], [], [0], [0, 0], [4, 0, 8, 0, 9, 6, 8, 5, 2, 0]]",5.029987356571833,5,0.408+((_sig_(0.096*(x[0]-85.20)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
11,"[[0], [1], [], [2], [], [0], [0, 0], [1, 0, 2, 9, 4, 8, 6, 7, 8, 1]]",5.030796366385129,5,0.102+((_sig_(0.948*(x[0]-67.81)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
12,"[[0], [1], [], [2], [], [0], [0, 0], [1, 2, 2, 2, 4, 0, 6, 5, 2, 9]]",5.134893871663693,5,0.122+((_sig_(0.240*(x[0]-65.29)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
13,"[[0], [1], [], [2], [], [0], [0, 0], [3, 6, 4, 3, 8, 1, 7, 8, 9, 3]]",5.20862294772511,5,0.364+((_sig_(0.381*(x[0]-78.93)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
