,genotype,fitness,tree_depth,phenotype,other_info,mapping_values
0,"[[0], [0, 3, 3], [1], [], [0, 0], [], [], [0], [2, 7, 0]]",0.2225422145584061,4,0.270+((x[0])-(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 2, 0, 0, 1, 3]"
1,"[[0], [0, 1, 4], [3], [3], [0], [0], [0], [0, 0], [2, 6, 8, 4, 6, 7, 7, 9, 0, 1]]",0.22334521957071943,6,0.268+(((_sig_(0.467*(x[0]-79.01))))|_div_|((x[0]-33.941))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 1, 1, 1, 1, 2, 10]"
2,"[[0], [0, 1, 1], [2], [3, 3], [], [], [0, 0], [0, 0, 0], [0, 7, 5, 4, 2, 0, 8, 5, 6, 6, 1, 0, 4, 2, 6, 9, 0]]",0.2802254288543322,6,0.075+(((_sig_(0.420*(x[0]-85.66))))*((_sig_(0.104*(x[0]-26.90))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 2, 0, 0, 2, 3, 17]"
3,"[[0], [1], [], [2], [], [], [0, 0], [0], [0, 3, 6, 9, 3, 7, 8, 1, 2, 6, 3]]",0.3360429861507251,5,0.036+((_exp_((x[0]-93.78)|_div_|12.63))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 0, 2, 1, 11]"
4,"[[0], [1], [], [3], [], [], [0], [0, 0], [1, 2, 6, 8, 6, 8, 8, 2, 0, 7]]",0.34886805374367097,5,0.126+((_sig_(0.868*(x[0]-82.07)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 0, 1, 2, 10]"
5,"[[0], [0, 1, 4], [3], [3], [0], [0], [0], [0, 0], [4, 1, 1, 7, 8, 3, 8, 8, 2, 7]]",0.3642334861792388,6,0.411+(((_sig_(0.783*(x[0]-88.27))))|_div_|((x[0]-33.941))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 1, 1, 1, 1, 2, 10]"
6,"[[0], [1], [], [3], [], [], [0], [0, 0], [1, 8, 0, 6, 8, 5, 7, 7, 8, 8]]",0.4328723250216257,5,0.180+((_sig_(0.685*(x[0]-77.88)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 0, 1, 2, 10]"
7,"[[0], [1], [], [3], [], [], [0], [0, 0], [3, 7, 8, 4, 5, 4, 8, 7, 3, 9]]",0.47022329393188467,5,0.378+((_sig_(0.454*(x[0]-87.39)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 0, 1, 2, 10]"
8,"[[0], [1], [], [3], [], [], [0], [0, 0], [2, 6, 4, 1, 3, 9, 7, 7, 5, 7]]",0.4774393754167896,5,0.264+((_sig_(0.139*(x[0]-77.57)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 0, 1, 2, 10]"
9,"[[0], [1], [], [3], [], [], [0], [0, 0], [0, 0, 4, 6, 7, 6, 5, 3, 7, 9]]",0.6090251759728198,5,0.004+((_sig_(0.676*(x[0]-53.79)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 0, 1, 2, 10]"
10,"[[0], [1], [], [3], [], [], [0], [0, 0], [5, 6, 6, 4, 3, 4, 9, 0, 6, 6]]",0.6090376638642959,5,0.566+((_sig_(0.434*(x[0]-90.66)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 0, 1, 2, 10]"
