,genotype,fitness,tree_depth,phenotype,other_info,mapping_values
0,"[[0], [0, 1, 1, 2], [3], [2, 0], [], [0, 0, 0], [0], [0, 5, 9, 9, 5, 7, 1, 8, 6, 8, 2, 7, 4, 8, 6]]",0.026622425499494982,7,0.059+(((_exp_((x[0]-95.71)|_div_|86.82)))|_div_|((_exp_(74.86)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 4, 1, 2, 0, 3, 1, 15]"
1,"[[0], [0, 1, 3], [3], [3], [0], [0], [0, 0], [1, 2, 4, 4, 4, 0, 9, 6, 0, 1]]",0.07948797737680324,6,0.124+(((_sig_(0.440*(x[0]-96.01))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 1, 1, 1, 2, 10]"
2,"[[0], [0, 2, 2], [3], [], [], [0, 0], [0], [2, 8, 6, 0, 3, 2, 8, 6, 8, 8, 5]]",0.28587857117472515,5,0.286+((03.28)|_div_|(68.85)),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 0, 2, 1, 11]"
3,"[[0], [0, 2, 1, 2], [3], [0], [], [0, 0], [0], [3, 4, 7, 1, 5, 6, 1, 4, 7, 1, 4]]",0.2991914277963722,7,0.347+((15.61)|_div_|((_exp_(47.14)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 4, 1, 1, 0, 2, 1, 11]"
4,"[[0], [1], [], [3], [], [0], [0, 0], [1, 7, 8, 6, 2, 9, 8, 8, 7, 1]]",0.30711940279779876,5,0.178+((_sig_(0.629*(x[0]-88.71)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
5,"[[0], [1], [], [3], [], [0], [0, 0], [0, 1, 9, 0, 6, 7, 6, 2, 4, 3]]",0.43253199031931777,5,0.019+((_sig_(0.067*(x[0]-62.43)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
6,"[[0], [1], [], [3], [], [0], [0, 0], [3, 9, 6, 9, 2, 9, 8, 6, 9, 7]]",0.4951381305004171,5,0.396+((_sig_(0.929*(x[0]-86.97)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
7,"[[0], [0, 3, 3], [1], [], [0, 0], [], [0], [5, 6, 9]]",0.5207597516433738,4,0.569+((x[0])-(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 2, 0, 1, 3]"
8,"[[0], [0, 1, 2], [3], [1], [], [0, 0, 0], [0], [2, 7, 4, 8, 2, 0, 2, 0, 9, 1, 1, 0, 2, 8, 8]]",0.5624291119749725,6,0.274+(((_exp_((x[0]-82.02)|_div_|09.11)))|_div_|(02.88)),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 1, 0, 3, 1, 15]"
9,"[[0], [1], [], [2], [], [0, 0], [0], [1, 0, 5, 9, 5, 3, 8, 5, 5, 9, 9]]",0.5696151604627427,5,0.105+((_exp_((x[0]-95.38)|_div_|55.99))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
10,"[[0], [1], [], [2], [], [0, 0], [0], [2, 4, 0, 8, 8, 6, 7, 1, 8, 2, 0]]",0.594212925993214,5,0.240+((_exp_((x[0]-88.67)|_div_|18.20))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
11,"[[0], [1], [], [3], [], [0], [0, 0], [3, 6, 3, 2, 5, 3, 7, 4, 9, 4]]",0.5968683598244554,5,0.363+((_sig_(0.253*(x[0]-74.94)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
12,"[[0], [1], [], [3], [], [0], [0, 0], [2, 8, 9, 3, 5, 2, 7, 0, 6, 0]]",0.6037086894151883,5,0.289+((_sig_(0.352*(x[0]-70.60)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
13,"[[0], [0, 2, 2], [1], [], [], [0, 0], [0], [5, 8, 8, 9, 1, 7, 9, 9, 2, 9, 5]]",0.6213087927641092,5,0.588+((91.79)-(92.95)),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 0, 2, 1, 11]"
14,"[[0], [1], [], [3], [], [0], [0, 0], [0, 4, 4, 3, 5, 3, 5, 3, 2, 4]]",0.6262008874716137,5,0.044+((_sig_(0.353*(x[0]-53.24)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
