,genotype,fitness,mapping_values,tree_depth,phenotype,other_info
0,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 2, 3], [0, 0], [0, 0, 0, 0, 0], [0, 0, 0], [0, 1, 7, 2, 0, 6, 2, 6, 4, 6, 6, 8, 4, 6, 3, 0, 5, 0, 3, 3, 7, 4]]",0.00766445762951497,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.017+(((_sig_(0.206*(x[0]-26.46))))|_div_|(((_exp_((x[0]-68.46)|_div_|30.50)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
1,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 1, 3], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 1, 0, 2, 3, 0, 2, 3, 9, 1, 9, 8, 4, 8, 5, 7, 2, 6, 3, 3, 7, 4, 0, 9, 9]]",0.00807429802743907,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.010+(((_sig_(0.230*(x[0]-23.91))))|_div_|(((_exp_((x[0]-98.48)|_div_|57.26)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
2,"[[0], [0, 1, 0, 1, 2], [3, 2, 0, 0], [3, 1], [0, 0], [0, 0, 0, 0], [0, 0, 0], [0, 1, 0, 2, 0, 6, 2, 2, 5, 5, 6, 4, 5, 8, 3, 0, 3, 0, 3, 3, 4, 4]]",0.008495198725436833,"[1, 5, 2, 2, 0, 4, 2, 22]",7,0.010+(((_sig_(0.206*(x[0]-22.55))))|_div_|(((_exp_((x[0]-64.58)|_div_|30.30)))*(33.44))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
3,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 1, 3], [0, 0], [0, 0, 0, 0, 0], [0, 0, 0], [0, 1, 0, 2, 3, 5, 2, 3, 9, 3, 8, 7, 4, 8, 5, 0, 2, 3, 3, 3, 7, 4, 0, 9, 9]]",0.008497677429640381,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.010+(((_sig_(0.235*(x[0]-23.93))))|_div_|(((_exp_((x[0]-87.48)|_div_|50.23)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
4,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 1, 3], [0, 0], [0, 0, 0, 0], [0, 0, 0], [0, 1, 9, 2, 1, 6, 2, 2, 7, 7, 9, 1, 0, 5, 7, 7, 1, 5, 3, 3, 7, 4]]",0.008920757610405245,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.019+(((_sig_(0.216*(x[0]-22.77))))|_div_|(((_exp_((x[0]-91.05)|_div_|77.15)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
5,"[[0], [0, 1, 0, 1, 2], [3, 2, 0, 0], [3, 1], [0, 0], [0, 0, 0, 0], [0, 0, 0], [0, 1, 0, 2, 0, 6, 2, 2, 5, 5, 6, 8, 7, 6, 3, 2, 5, 0, 3, 3, 7, 4]]",0.008937703342387358,"[1, 5, 2, 2, 0, 4, 2, 22]",7,0.010+(((_sig_(0.206*(x[0]-22.55))))|_div_|(((_exp_((x[0]-68.76)|_div_|32.50)))*(33.74))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
6,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 2, 3], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 0, 2, 9, 9, 2, 0, 2, 7, 9, 7, 4, 9, 9, 0, 6, 5, 3, 3, 7, 4]]",0.009098554839738046,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.020+(((_sig_(0.299*(x[0]-20.27))))|_div_|(((_exp_((x[0]-97.49)|_div_|90.65)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
7,"[[0], [0, 1, 0, 0, 3, 1, 1], [3, 2, 0, 0], [3, 3, 1], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 1, 9, 2, 6, 8, 2, 6, 2, 8, 0, 4, 0, 4, 8, 1, 8, 7, 3, 3, 6, 4, 3, 5, 5]]",0.00935077242292571,"[1, 7, 3, 3, 1, 4, 3, 25]",8,0.019+(((_sig_(0.268*(x[0]-26.28))))|_div_|(((x[0])*((_sig_(0.040*(x[0]-48.18)))))+((_exp_((x[0]-73.36)|_div_|43.55))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
8,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 1], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0, 3, 1, 2, 5, 9, 2, 4, 0, 1, 6, 0, 0, 9, 3, 9, 1, 7, 3, 3, 7, 4]]",0.00947020534026186,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.031+(((_sig_(0.259*(x[0]-24.01))))|_div_|(((_exp_((x[0]-60.09)|_div_|39.17)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
9,"[[0], [0, 0, 1, 1, 3, 1, 2], [3, 3], [3, 2], [0, 0], [0, 0, 0, 0], [0, 0, 0], [0, 1, 4, 2, 7, 7, 2, 2, 1, 7, 9, 4, 7, 5, 7, 5, 1, 7, 3, 3, 7, 4]]",0.00957182396142019,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.014+((((_sig_(0.277*(x[0]-22.17))))|_div_|((_exp_((x[0]-94.75)|_div_|75.17))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
10,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 1, 3], [0, 0], [0, 0, 0, 0], [0, 0, 0], [0, 1, 4, 2, 7, 3, 2, 2, 1, 7, 9, 4, 7, 5, 7, 6, 1, 7, 3, 3, 7, 4]]",0.009692231270355471,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.014+(((_sig_(0.273*(x[0]-22.17))))|_div_|(((_exp_((x[0]-94.75)|_div_|76.17)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
11,"[[0], [0, 1, 0, 1, 3], [3, 2, 0, 0], [3, 2], [0, 0], [0, 0, 0], [0, 0, 0], [0, 3, 0, 2, 0, 7, 2, 4, 5, 8, 5, 9, 1, 6, 3, 7, 5, 0, 3, 3, 7, 4]]",0.009766699551020342,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.030+(((_sig_(0.207*(x[0]-24.58))))|_div_|(((_exp_((x[0]-59.16)|_div_|37.50)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
12,"[[0], [0, 1, 0, 1, 3, 3], [3, 2, 0, 0], [3, 2, 3], [0, 0], [0, 0, 0, 0], [0, 0, 0], [0, 2, 0, 2, 9, 4, 2, 2, 4, 4, 9, 7, 4, 9, 9, 0, 6, 5, 3, 3, 7, 4]]",0.009797402722381611,"[1, 5, 2, 2, 1, 3, 2, 18]",7,0.020+(((_sig_(0.294*(x[0]-22.44))))|_div_|(((_exp_((x[0]-97.49)|_div_|90.65)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
