,genotype,fitness,mapping_values,tree_depth,phenotype,other_info
0,"[[0], [0, 1, 3, 0, 1], [3, 2], [3, 0, 3, 3], [0], [0, 0, 0], [0, 0, 0], [0, 5, 9, 8, 3, 9, 2, 5, 1, 9, 2, 0, 5, 9, 7, 1, 0]]",0.4216784888635419,"[1, 3, 1, 1, 1, 1, 2, 10]",6,0.059+(((_sig_(0.839*(x[0]-25.19))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
1,"[[0], [0, 1, 3, 0, 1], [3, 3, 2, 3, 1, 3], [3, 0, 3, 3], [0, 0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 5, 9, 8, 3, 1, 2, 5, 8, 9, 2, 0, 5, 9, 7, 1, 0]]",0.4239392203043435,"[1, 3, 1, 1, 1, 1, 2, 10]",6,0.059+(((_sig_(0.831*(x[0]-25.89))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
2,"[[0], [0, 0, 0, 1, 2, 1, 2], [3, 1, 3], [2, 2], [0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 6, 6, 4, 8, 8, 7, 4, 8, 3, 5, 8, 7, 9, 5, 7, 0, 1, 8, 7, 2, 0, 9, 6, 1, 4, 0]]",0.44278386007778686,"[1, 7, 3, 2, 0, 6, 1, 27]",8,0.066+(((((_exp_((x[0]-48.87)|_div_|48.35)))|_div_|(87.95))-((_exp_((x[0]-70.18)|_div_|72.09))))|_div_|(61.40)),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
3,"[[0], [0, 1, 0, 0, 2, 3, 2], [3, 0, 1, 2], [3], [0], [0, 0, 0], [0, 0, 0], [0, 3, 7, 1, 2, 7, 1, 9, 6, 8, 7, 7, 4, 8, 6, 1, 4, 5]]",0.4440329325946521,"[1, 7, 3, 1, 1, 3, 2, 18]",7,0.037+(((_sig_(0.127*(x[0]-19.68))))|_div_|(((77.48)+(x[0]))-(61.45))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
4,"[[0], [0, 1, 1, 2], [3, 0], [2, 0], [0, 0, 0, 0], [0, 0, 0], [0, 0], [0, 5, 9, 9, 1, 8, 1, 8, 6, 8, 2, 3, 8, 7, 6]]",0.451227550838898,"[1, 4, 1, 2, 0, 3, 1, 15]",7,0.059+(((_exp_((x[0]-91.81)|_div_|86.82)))|_div_|((_exp_(38.76)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
5,"[[0], [0, 1, 1, 2], [3], [2, 0], [0, 0, 0, 0], [0, 0, 0], [0, 0], [0, 5, 9, 3, 1, 8, 1, 8, 7, 8, 2, 3, 8, 7, 6]]",0.451227550838898,"[1, 4, 1, 2, 0, 3, 1, 15]",7,0.059+(((_exp_((x[0]-31.81)|_div_|87.82)))|_div_|((_exp_(38.76)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
6,"[[0], [0, 1, 1, 2], [3], [2, 0], [], [0, 0, 0], [0], [0, 5, 9, 9, 5, 7, 1, 8, 6, 8, 2, 7, 4, 8, 6]]",0.45122755083889804,"[1, 4, 1, 2, 0, 3, 1, 15]",7,0.059+(((_exp_((x[0]-95.71)|_div_|86.82)))|_div_|((_exp_(74.86)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
7,"[[0], [0, 3, 0, 1, 2, 3], [3, 2], [0, 1], [0, 0], [0, 0], [0], [0, 5, 9, 9, 5, 2, 1, 8, 6, 8, 2, 7, 4, 8, 6]]",0.45122755083889804,"[1, 6, 2, 1, 2, 1, 1, 7]",8,0.059+((x[0])|_div_|(((_exp_(95.21)))*(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
8,"[[0], [0, 3, 3], [1], [], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 5, 7, 6, 3, 1, 2, 5, 8, 9, 5, 6, 5, 0, 7]]",0.4548023391017954,"[1, 3, 1, 0, 2, 0, 1, 3]",4,0.057+((x[0])-(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
9,"[[0], [0, 3, 3], [1], [], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0], [0, 5, 7, 6, 3, 1, 2, 5, 8, 9, 5, 6, 5, 0, 7]]",0.4548023391017954,"[1, 3, 1, 0, 2, 0, 1, 3]",4,0.057+((x[0])-(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
10,"[[0], [0, 1, 2], [3], [3, 2], [0], [0, 0, 0], [0, 0], [0, 5, 6, 4, 3, 1, 2, 5, 8, 9, 5, 6, 5, 6, 7]]",0.4571890270479061,"[1, 3, 1, 1, 0, 2, 2, 14]",6,0.056+(((_sig_(0.431*(x[0]-25.89))))|_div_|(56.56)),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
11,"[[0], [0, 3, 3], [1], [], [0, 0], [0, 0], [0, 0], [0, 5, 6, 6, 3, 1, 2, 5, 8, 9, 5, 6, 5, 0, 7]]",0.45760410422563647,"[1, 3, 1, 0, 2, 0, 1, 3]",4,0.056+((x[0])-(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
12,"[[0], [0, 3, 3], [1], [], [0, 0], [0, 0], [0, 0], [0, 5, 6, 6, 3, 1, 2, 5, 8, 9, 5, 6, 5, 0, 7]]",0.45760410422563647,"[1, 3, 1, 0, 2, 0, 1, 3]",4,0.056+((x[0])-(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
13,"[[0], [0, 3, 3], [1], [3, 2], [0, 0], [0, 0], [0, 0], [0, 5, 6, 6, 3, 1, 2, 5, 8, 9, 5, 6, 5, 0, 7]]",0.45760410422563647,"[1, 3, 1, 0, 2, 0, 1, 3]",4,0.056+((x[0])-(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
14,"[[0], [0, 3, 3], [1, 2], [2], [0, 0], [0, 0, 0], [0, 0], [0, 5, 6, 6, 3, 1, 2, 5, 8, 9, 5, 6, 5, 0, 7]]",0.45760410422563647,"[1, 3, 1, 0, 2, 0, 1, 3]",4,0.056+((x[0])-(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
15,"[[0], [0, 1, 1], [3, 3], [2, 2], [0], [0, 0, 0, 0], [0, 0], [0, 6, 9, 8, 3, 3, 6, 0, 6, 3, 4, 1, 6, 1, 3, 0, 3, 7, 7]]",0.46223535765241575,"[1, 3, 1, 2, 0, 4, 1, 19]",6,0.069+(((_exp_((x[0]-83.36)|_div_|06.34)))|_div_|((_exp_((x[0]-16.13)|_div_|03.77)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
16,"[[0], [0, 1, 0, 2, 2], [3, 1, 0, 1], [3], [0], [0, 0, 0], [0, 0], [0, 5, 5, 6, 2, 7, 4, 5, 0, 8, 1, 7, 1, 5, 7, 8, 7, 5]]",0.46396417759344427,"[1, 5, 2, 1, 0, 3, 2, 18]",6,0.055+(((_sig_(0.627*(x[0]-45.08))))|_div_|((17.15)-(78.75))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
17,"[[0], [0, 1, 1, 2], [3], [1, 0], [], [0, 0, 0], [0, 0], [0, 5, 4, 6, 5, 9, 2, 7, 3, 8, 0, 6, 5, 0, 7]]",0.46553712692351984,"[1, 4, 1, 2, 0, 3, 1, 15]",7,0.054+(((_exp_((x[0]-65.92)|_div_|73.80)))|_div_|((_exp_(65.07)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
18,"[[0], [0, 1, 1, 2], [3], [1, 0], [0], [0, 0, 0], [0, 0], [0, 5, 4, 2, 5, 2, 2, 6, 3, 8, 4, 8, 4, 5, 0]]",0.46553712692351984,"[1, 4, 1, 2, 0, 3, 1, 15]",7,0.054+(((_exp_((x[0]-25.22)|_div_|63.84)))|_div_|((_exp_(84.50)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
19,"[[0], [0, 1, 1, 2], [3, 1, 2, 0], [1, 0], [], [0, 0, 0, 0, 0, 0, 0], [0, 0], [0, 5, 4, 6, 1, 9, 9, 5, 3, 2, 1, 6, 5, 1, 7]]",0.46553712692351984,"[1, 4, 1, 2, 0, 3, 1, 15]",7,0.054+(((_exp_((x[0]-61.99)|_div_|53.21)))|_div_|((_exp_(65.17)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
20,"[[0], [0, 1, 1, 2], [3], [1, 0], [0], [0, 0, 0], [0, 0], [0, 5, 4, 2, 8, 2, 2, 6, 3, 7, 6, 7, 4, 5, 0]]",0.46553712692351984,"[1, 4, 1, 2, 0, 3, 1, 15]",7,0.054+(((_exp_((x[0]-28.22)|_div_|63.76)))|_div_|((_exp_(74.50)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
