,genotype,fitness,tree_depth,phenotype,other_info,mapping_values
0,"[[0], [0, 3, 3], [1], [], [0, 0], [], [0], [1, 2, 6]]",0.2948546061646114,4,0.126+((x[0])-(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 2, 0, 1, 3]"
1,"[[0], [0, 3, 3], [1], [], [0, 0], [], [0], [1, 2, 6]]",0.2948546061646114,4,0.126+((x[0])-(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 2, 0, 1, 3]"
2,"[[0], [0, 3, 3], [1], [], [0, 0], [], [0], [1, 5, 7]]",0.552519165574605,4,0.157+((x[0])-(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 2, 0, 1, 3]"
3,"[[0], [0, 3, 3], [1], [], [0, 0], [], [0], [2, 1, 7]]",1.2933205885428385,4,0.217+((x[0])-(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 2, 0, 1, 3]"
4,"[[0], [0, 1, 2], [3], [2], [], [0, 0, 0], [0], [3, 0, 8, 4, 5, 2, 8, 5, 0, 8, 0, 6, 0, 3, 8]]",3.477487859915417,6,0.308+(((_exp_((x[0]-45.28)|_div_|50.80)))|_div_|(60.38)),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 1, 0, 3, 1, 15]"
5,"[[0], [1], [], [3], [], [0], [0, 0], [0, 1, 5, 3, 4, 1, 7, 6, 0, 7]]",5.2670506777012855,5,0.015+((_sig_(0.341*(x[0]-76.07)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
6,"[[0], [0, 1, 2], [3], [1], [], [0, 0, 0], [0], [2, 5, 1, 0, 7, 9, 3, 6, 7, 3, 4, 1, 3, 6, 6]]",5.297728467961091,6,0.251+(((_exp_((x[0]-07.93)|_div_|67.34)))|_div_|(13.66)),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 1, 0, 3, 1, 15]"
7,"[[0], [0, 1, 3], [3], [1], [0], [0, 0], [0], [3, 5, 4, 4, 8, 5, 5, 1, 3, 9, 5]]",5.902453355121546,6,0.354+(((_exp_((x[0]-48.55)|_div_|13.95)))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 1, 1, 2, 1, 11]"
8,"[[0], [1], [], [3], [], [0], [0, 0], [0, 3, 0, 1, 1, 6, 6, 9, 3, 2]]",6.7150665151881554,5,0.030+((_sig_(0.116*(x[0]-69.32)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
9,"[[0], [0, 1, 3], [3], [1], [0], [0, 0], [0], [4, 4, 1, 8, 8, 2, 6, 8, 8, 2, 5]]",7.276584985099955,6,0.441+(((_exp_((x[0]-88.26)|_div_|88.25)))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 1, 1, 2, 1, 11]"
10,"[[0], [1], [], [2], [], [0, 0], [0], [0, 1, 0, 9, 0, 1, 4, 0, 9, 3, 8]]",7.504388372501877,5,0.010+((_exp_((x[0]-90.14)|_div_|09.38))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
11,"[[0], [1], [], [3], [], [0], [0, 0], [3, 1, 0, 0, 8, 6, 8, 5, 0, 6]]",8.412942438391351,5,0.310+((_sig_(0.086*(x[0]-85.06)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
12,"[[0], [1], [], [2], [], [0, 0], [0], [1, 6, 3, 9, 6, 4, 8, 2, 8, 2, 0]]",8.497801050561087,5,0.163+((_exp_((x[0]-96.48)|_div_|28.20))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
