,genotype,fitness,tree_depth,phenotype,other_info,mapping_values
0,"[[0], [0, 1, 1, 2], [3], [2, 0], [], [0, 0, 0], [0], [0, 5, 9, 9, 5, 7, 1, 8, 6, 8, 2, 7, 4, 8, 6]]",0.02539079363666928,7,0.059+(((_exp_((x[0]-95.71)|_div_|86.82)))|_div_|((_exp_(74.86)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 4, 1, 2, 0, 3, 1, 15]"
1,"[[0], [0, 3, 3], [1], [], [0, 0], [], [0], [5, 6, 9]]",0.4037217730262712,4,0.569+((x[0])-(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 2, 0, 1, 3]"
2,"[[0], [1], [], [3], [], [0], [0, 0], [6, 8, 3, 7, 9, 2, 9, 7, 2, 2]]",0.48795348045410464,5,0.683+((_sig_(0.792*(x[0]-97.22)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
3,"[[0], [1], [], [3], [], [0], [0, 0], [4, 7, 5, 4, 6, 6, 7, 0, 3, 4]]",0.5083341593077096,5,0.475+((_sig_(0.466*(x[0]-70.34)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
4,"[[0], [1], [], [3], [], [0], [0, 0], [4, 3, 2, 0, 7, 4, 5, 6, 7, 6]]",0.5656424058029715,5,0.432+((_sig_(0.074*(x[0]-56.76)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
5,"[[0], [1], [], [3], [], [0], [0, 0], [7, 7, 7, 2, 5, 6, 8, 2, 5, 2]]",0.5941679187530576,5,0.777+((_sig_(0.256*(x[0]-82.52)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
6,"[[0], [0, 3, 2], [3], [], [0], [0], [0], [1, 9, 8, 5, 4, 2, 7]]",0.680607993511102,5,0.198+((x[0])|_div_|(54.27)),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 1, 1, 1, 7]"
7,"[[0], [1], [], [1], [], [0, 0], [0], [3, 9, 5, 7, 8, 1, 5, 8, 0, 4, 2]]",0.6962720722649446,5,0.395+((_exp_((x[0]-78.15)|_div_|80.42))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
8,"[[0], [1], [], [2], [], [0, 0], [0], [5, 8, 4, 9, 4, 0, 7, 9, 9, 4, 3]]",0.7501091551868346,5,0.584+((_exp_((x[0]-94.07)|_div_|99.43))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
9,"[[0], [1], [], [2], [], [0, 0], [0], [7, 7, 1, 7, 8, 3, 9, 5, 8, 3, 1]]",0.8308820864858201,5,0.771+((_exp_((x[0]-78.39)|_div_|58.31))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
10,"[[0], [0, 1, 2], [2], [2], [], [0, 0, 0], [0], [1, 9, 8, 8, 8, 4, 2, 1, 0, 8, 3, 0, 5, 6, 5]]",0.8363909478923268,6,0.198+(((_exp_((x[0]-88.42)|_div_|10.83)))*(05.65)),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 1, 0, 3, 1, 15]"
11,"[[0], [1], [], [2], [], [0, 0], [0], [8, 8, 0, 9, 5, 4, 9, 8, 7, 5, 1]]",0.8570970284398977,5,0.880+((_exp_((x[0]-95.49)|_div_|87.51))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
12,"[[0], [1], [], [2], [], [0, 0], [0], [9, 1, 1, 4, 4, 8, 9, 3, 4, 4, 2]]",1.1375338172258216,5,0.911+((_exp_((x[0]-44.89)|_div_|34.42))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
13,"[[0], [0, 3, 2], [3], [], [0], [0], [0], [5, 4, 7, 2, 4, 8, 7]]",1.154519117529459,5,0.547+((x[0])|_div_|(24.87)),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 1, 1, 1, 7]"
14,"[[0], [1, 1], [], [0, 3], [], [0], [0, 0], [3, 1, 0, 3, 8, 8, 2, 6, 1, 4]]",1.2063277078419499,7,0.310+((_exp_((_sig_(0.388*(x[0]-26.14)))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 2, 0, 1, 2, 10]"
15,"[[0], [2], [], [], [], [0], [0], [2, 6, 8, 0, 2, 3, 1]]",1.2276328604125326,4,0.268+(02.31),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 0, 1, 1, 7]"
16,"[[0], [1], [], [1], [], [0, 0], [0], [4, 7, 3, 2, 2, 4, 6, 3, 3, 6, 5]]",1.3547801063415115,5,0.473+((_exp_((x[0]-22.46)|_div_|33.65))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
17,"[[0], [0, 3, 2], [3], [], [0], [0], [0], [7, 8, 5, 1, 4, 8, 6]]",1.495214380644646,5,0.785+((x[0])|_div_|(14.86)),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 1, 1, 1, 7]"
18,"[[0], [2], [], [], [], [0], [0], [9, 3, 5, 3, 7, 1, 1]]",3.617396757101203,4,0.935+(37.11),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 0, 1, 1, 7]"
19,"[[0], [1, 3], [], [0], [0], [], [0], [9, 8, 9]]",53.16715502618864,5,0.989+((_exp_(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 1, 1, 0, 1, 3]"
20,"[[0], [3], [], [], [0], [], [0], [9, 7, 7]]",,3,0.977+(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 1, 0, 1, 3]"
21,"[[0], [1, 1, 1], [], [0, 0, 3], [], [0], [0, 0], [8, 6, 9, 2, 8, 2, 4, 0, 8, 2]]",2.249335435395379,9,0.869+((_exp_((_exp_((_sig_(0.282*(x[0]-40.82)))))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 0, 3, 0, 1, 2, 10]"
22,"[[0], [0, 1, 3], [2], [2], [0], [0, 0], [0], [7, 2, 1, 4, 4, 0, 5, 0, 1, 9, 3]]",13.382378364716962,6,0.721+(((_exp_((x[0]-44.05)|_div_|01.93)))*(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 1, 1, 2, 1, 11]"
23,"[[0], [3], [], [], [0], [], [0], [0, 1, 1]]",,3,0.011+(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 1, 0, 1, 3]"
24,"[[0], [3], [], [], [0], [], [0], [7, 3, 3]]",,3,0.733+(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 1, 0, 1, 3]"
25,"[[0], [3], [], [], [0], [], [0], [8, 3, 8]]",,3,0.838+(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 1, 0, 1, 3]"
26,"[[0], [1], [], [3], [], [0], [0, 0], [3, 6, 3, 2, 5, 3, 7, 4, 9, 4]]",0.41568147749640744,5,0.363+((_sig_(0.253*(x[0]-74.94)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
27,"[[0], [0, 1, 1, 1], [0], [2, 0, 3], [], [0, 0, 0], [0, 0], [0, 5, 0, 0, 0, 2, 5, 8, 9, 4, 4, 8, 1, 0, 9, 4, 0, 3]]",1.2919255954223545,8,0.050+(((_exp_((x[0]-00.25)|_div_|89.44)))+((_exp_((_sig_(0.810*(x[0]-94.03))))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 4, 1, 3, 0, 3, 2, 18]"
28,"[[0], [1], [], [2], [], [0, 0], [0], [7, 4, 6, 2, 2, 9, 1, 2, 1, 9, 7]]",1.8088091864955522,5,0.746+((_exp_((x[0]-22.91)|_div_|21.97))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
29,"[[0], [2], [], [], [], [0], [0], [7, 6, 5, 9, 3, 2, 1]]",4.5062807405919125,4,0.765+(93.21),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 0, 1, 1, 7]"
