,genotype,fitness,tree_depth,phenotype,other_info,mapping_values
0,"[[0], [0, 3, 3], [1], [], [0, 0], [], [0], [0, 2, 9]]",0.16824047644037166,4,0.029+((x[0])-(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 2, 0, 1, 3]"
1,"[[0], [0, 3, 1, 2], [3], [0], [0], [0], [0], [4, 0, 1, 4, 6, 9, 2]]",0.2804631728837605,7,0.401+((x[0])|_div_|((_exp_(46.92)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 4, 1, 1, 1, 1, 1, 7]"
2,"[[0], [0, 3, 3], [1], [], [0, 0], [], [0], [4, 0, 5]]",0.2840863250679229,4,0.405+((x[0])-(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 2, 0, 1, 3]"
3,"[[0], [0, 1, 3], [3], [3], [0], [0], [0, 0], [3, 8, 2, 6, 5, 5, 4, 4, 3, 2]]",0.2847742182784661,6,0.382+(((_sig_(0.655*(x[0]-44.32))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 1, 1, 1, 2, 10]"
4,"[[0], [0, 1, 2], [3], [3], [], [0, 0], [0, 0], [4, 1, 1, 7, 8, 3, 8, 8, 2, 7, 6, 2, 5, 6]]",0.30287412036345496,6,0.411+(((_sig_(0.783*(x[0]-88.27))))|_div_|(62.56)),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 1, 0, 2, 2, 14]"
5,"[[0], [0, 1, 3, 1, 3], [1], [0, 0], [0, 0], [], [0], [6, 0, 7]]",0.47498652801153707,6,0.607+(((_exp_(x[0])))-((_exp_(x[0])))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 5, 1, 2, 2, 0, 1, 3]"
6,"[[0], [0, 3, 1, 3], [3], [0], [0, 0], [], [0], [6, 8, 0]]",0.5487540178579786,6,0.680+((x[0])|_div_|((_exp_(x[0])))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 4, 1, 1, 2, 0, 1, 3]"
7,"[[0], [0, 1, 3], [3], [2], [0], [0, 0], [0], [6, 7, 4, 8, 2, 8, 1, 7, 8, 4, 6]]",0.6131694726111911,6,0.674+(((_exp_((x[0]-82.81)|_div_|78.46)))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 1, 1, 2, 1, 11]"
8,"[[0], [2], [], [], [], [0], [0], [7, 8, 9, 0, 0, 0, 2]]",0.6724041667734607,4,0.789+(00.02),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 0, 1, 1, 7]"
9,"[[0], [0, 1, 2], [3], [3], [], [0, 0], [0, 0], [9, 0, 2, 5, 9, 9, 6, 1, 7, 0, 6, 9, 7, 9]]",0.7765258344708736,6,0.902+(((_sig_(0.599*(x[0]-61.70))))|_div_|(69.79)),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 1, 0, 2, 2, 14]"
