,genotype,fitness,mapping_values,tree_depth,phenotype,other_info
0,"[[0], [0, 0, 1, 0, 1, 1, 1], [3, 0, 3], [3, 1, 2, 1], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0], [0, 3, 4, 0, 1, 0, 9, 6, 8, 5, 5, 4, 8, 3, 5, 1, 3, 7, 2, 7, 2, 4, 0, 6, 5, 8, 3, 6, 8, 6, 5, 0, 1, 8]]",0.04828737513126784,"[1, 7, 3, 4, 0, 7, 2, 34]",8,0.034+((((_sig_(0.010*(x[0]-96.85))))|_div_|(((_exp_((x[0]-54.83)|_div_|51.37)))+((_exp_((x[0]-27.24)|_div_|06.58)))))|_div_|((_exp_((x[0]-36.86)|_div_|50.18)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
1,"[[0], [0, 2, 0, 1, 0, 3, 1, 3, 1, 0, 1, 0, 1, 3, 0, 2, 3], [3, 0, 2], [3, 2], [0], [0, 0, 0, 0, 0], [0, 0], [0, 0, 3, 0, 9, 2, 2, 6, 8, 5, 5, 4, 8, 3, 2, 3, 0, 3, 8, 9, 0, 5]]",0.053930883220942014,"[1, 7, 3, 2, 1, 4, 2, 22]",8,0.003+((09.22)|_div_|(((_sig_(0.685*(x[0]-54.83))))+((x[0])*((_exp_((x[0]-23.03)|_div_|89.05)))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
2,"[[0], [0, 2, 0, 0, 1, 2, 0, 3, 0, 2, 3], [3, 3, 2, 2, 0], [1], [0, 0], [0, 0, 0, 0, 0], [0, 0, 0], [0, 2, 2, 0, 9, 6, 9, 6, 8, 3, 5, 4, 8, 6, 7, 2, 8, 6, 4, 6, 0, 7, 1]]",0.06273967447553336,"[1, 11, 5, 1, 2, 5, 1, 23]",8,0.022+((09.69)|_div_|((((_exp_((x[0]-68.35)|_div_|48.67)))|_div_|(28.64))*((x[0])*((60.71)+(x[0]))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
3,"[[0], [0, 0, 0, 2, 0, 0, 1, 3, 3, 0, 1, 0, 2, 3, 0, 3, 2], [3, 2, 3, 2, 3, 0, 3, 3], [3, 3], [0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0], [0, 5, 2, 0, 7, 0, 4, 0, 2, 8, 4, 7, 1, 2, 0, 7, 6, 0, 9, 9, 8, 8, 4, 3, 8, 7, 3, 0, 2]]",0.0723131821348337,"[1, 17, 8, 2, 4, 5, 3, 29]",10,0.052+((((07.04)|_div_|((((_sig_(0.028*(x[0]-47.12))))*(x[0]))|_div_|(x[0])))*(((_sig_(0.076*(x[0]-09.98))))|_div_|((84.38)+(x[0]))))|_div_|((x[0])|_div_|(73.02))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
4,"[[0], [0, 2, 0, 3, 0, 1, 2], [3, 0, 2], [3], [0, 0], [0, 0, 0], [0, 0], [0, 0, 4, 1, 1, 4, 9, 6, 8, 5, 5, 4, 8, 3, 7, 3, 3, 9]]",0.07370447039977476,"[1, 7, 3, 1, 1, 3, 2, 18]",8,0.004+((11.49)|_div_|((x[0])+(((_sig_(0.685*(x[0]-54.83))))*(73.39)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
5,"[[0], [0, 2, 0, 1, 3], [3, 0], [3], [0], [0, 0, 0, 0, 0], [0, 0], [0, 0, 0, 0, 9, 4, 2, 6, 8, 5, 5, 4, 8, 3]]",0.08294449877446665,"[1, 5, 2, 1, 1, 2, 2, 14]",7,0.000+((09.42)|_div_|(((_sig_(0.685*(x[0]-54.83))))+(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
6,"[[0], [0, 2, 0, 1, 3], [3, 0], [3], [0, 0, 0, 0], [0, 0, 0], [0, 0], [0, 0, 0, 0, 9, 2, 8, 6, 9, 2, 5, 4, 6, 9]]",0.08328281511699388,"[1, 5, 2, 1, 1, 2, 2, 14]",7,0.000+((09.28)|_div_|(((_sig_(0.692*(x[0]-54.69))))+(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
7,"[[0], [0, 2, 0, 1, 0, 3, 1, 3, 1, 0, 1, 0, 1, 3, 0, 2, 3], [3, 0, 0], [3, 3], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 9, 7, 7, 0, 2, 8, 4, 7, 1, 2, 3, 7, 6, 4, 7, 9, 5, 0, 4, 3, 8, 9, 3, 0, 2]]",0.08331491710988198,"[1, 7, 3, 2, 1, 3, 3, 21]",8,0.000+((09.77)|_div_|(((_sig_(0.028*(x[0]-47.12))))+((x[0])+((_sig_(0.376*(x[0]-47.95))))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
8,"[[0], [0, 2, 3, 1, 0, 3, 1, 3, 1, 0, 1, 0, 1, 3, 0, 2, 3], [3, 2], [3], [0, 0, 0], [0, 0, 0, 0, 0], [0, 0], [0, 0, 0, 0, 9, 5, 9, 6, 8, 5, 5, 4, 8, 3]]",0.08340277795830622,"[1, 3, 1, 0, 1, 1, 1, 7]",5,0.000+((09.59)|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
9,"[[0], [0, 2, 3, 1, 0, 3, 1, 3, 1, 0, 1, 0, 1, 3, 0, 2, 3], [3, 2], [3], [0], [0, 0, 0, 0, 0], [0, 0], [0, 0, 0, 0, 9, 5, 9, 6, 8, 5, 5, 4, 8, 3]]",0.08340277795830622,"[1, 3, 1, 0, 1, 1, 1, 7]",5,0.000+((09.59)|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
