,genotype,fitness,tree_depth,phenotype,other_info,mapping_values
0,"[[0], [1, 1, 3, 2], [], [0, 0], [0], [0, 0], [1, 6, 2, 4]]",22.848869404028637,7,1.6+(_exp_(-(_exp_(-(x[0])))))+(2.4),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 4, 0, 2, 1, 2, 4]"
1,"[[0], [0, 0, 0, 1, 3, 3, 1, 3, 0, 3, 3, 1, 2], [1, 3, 1, 3], [0, 1, 0], [0, 0, 0, 0, 0], [0, 0], [5, 8, 1, 4]]",23.310874526844632,8,5.8+((((_exp_(-(x[0])))-(x[0]))|_div_|(_exp_(x[0])))-((x[0])|_div_|(x[0])))+(_exp_(-(1.4))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 13, 4, 3, 5, 2, 4]"
2,"[[0], [1, 3, 0, 1, 3, 3], [2], [0, 0], [0, 0, 0], [0], [4, 9]]",23.455400405448696,6,4.9+(_exp_(-(x[0])))+((_exp_(-(x[0])))*(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 6, 1, 2, 3, 1, 2]"
3,"[[0], [0, 0, 2, 0, 1, 3, 3, 0, 3, 3, 2], [3, 2, 3, 2], [1], [0, 0, 0, 0], [0, 0, 0], [3, 7, 0, 8, 1, 0]]",23.45671886998925,8,3.7+(((0.8)|_div_|((_exp_(x[0]))*(x[0])))|_div_|((x[0])*(x[0])))+(1.0),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 11, 4, 1, 4, 3, 6]"
4,"[[0], [1, 2, 2], [], [0], [], [0, 0, 0], [2, 6, 7, 5, 2, 7]]",23.525563814552296,6,2.6+(_exp_(-(7.5)))+(2.7),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 0, 1, 0, 3, 6]"
5,"[[0], [3, 0, 1, 3, 3], [1], [0], [0, 0, 0], [0], [5, 2]]",23.558047980913546,6,5.2+(x[0])+((_exp_(-(x[0])))-(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 5, 1, 1, 3, 1, 2]"
6,"[[0], [2, 0, 0, 2, 3, 2], [3, 1], [], [0], [0, 0, 0, 0], [7, 1, 7, 0, 0, 2, 9, 6]]",23.707904783524963,6,7.1+(7.0)+(((0.2)|_div_|(x[0]))-(9.6)),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 6, 2, 0, 1, 4, 8]"
7,"[[0], [1, 1, 3, 1, 2], [], [0, 0, 0], [0], [0, 0], [3, 3, 9, 3]]",23.736349631358852,7,3.3+(_exp_(-(_exp_(-(x[0])))))+(_exp_(-(9.3))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 5, 0, 3, 1, 2, 4]"
8,"[[0], [1, 2, 0, 1, 3, 1, 1, 1, 3], [3], [0, 0, 1, 0, 0], [0, 0], [0, 0], [4, 4, 4, 3]]",23.8657411583376,10,4.4+(_exp_(-(4.3)))+((_exp_(-(x[0])))|_div_|(_exp_(_exp_(-(_exp_(-(x[0]))))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 9, 1, 5, 2, 2, 4]"
9,"[[0], [1, 0, 3, 1, 3, 1, 3], [0], [0, 0, 0], [0, 0, 0], [0], [4, 4]]",24.015079245057965,8,4.4+(_exp_(-((x[0])+(_exp_(-(x[0]))))))+(_exp_(-(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 7, 1, 3, 3, 1, 2]"
10,"[[0], [0, 2, 2, 1, 0, 2, 3], [3, 3], [0], [0], [0, 0, 0, 0], [4, 5, 0, 0, 4, 6, 0, 8]]",24.070652172853844,7,4.5+((0.0)|_div_|(4.6))+(_exp_(-((0.8)|_div_|(x[0])))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 7, 2, 1, 1, 4, 8]"
11,"[[0], [2, 0, 0, 1, 3, 2, 0, 1, 3, 1, 3], [1, 3, 2], [0, 0, 1], [0, 0, 0], [0, 0, 0], [5, 6, 3, 7, 5, 0]]",24.18351220388056,7,5.6+(3.7)+(((_exp_(-(x[0])))-(5.0))|_div_|((_exp_(-(x[0])))*(_exp_(x[0])))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 11, 3, 3, 3, 3, 6]"
12,"[[0], [0, 2, 2, 0, 3, 3], [1, 1], [], [0, 0], [0, 0, 0], [3, 4, 9, 6, 7, 4]]",24.197446732180644,5,3.4+((9.6)-(7.4))+((x[0])-(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 6, 2, 0, 2, 3, 6]"
13,"[[0], [2, 2], [], [], [], [0, 0, 0], [2, 4, 2, 6, 0, 7]]",24.50126462342351,4,2.4+(2.6)+(0.7),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 0, 0, 3, 6]"
14,"[[0], [1, 3, 1, 0, 2, 3], [2], [0, 0], [0, 0], [0, 0], [4, 2, 0, 7]]",24.63181332052329,7,4.2+(_exp_(-(x[0])))+(_exp_(-((0.7)*(x[0])))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 6, 1, 2, 2, 2, 4]"
15,"[[0], [2, 1, 0, 2, 2], [1], [0], [], [0, 0, 0, 0], [1, 5, 4, 2, 3, 2, 0, 7]]",24.778726583639198,7,1.5+(4.2)+(_exp_(-((3.2)-(0.7)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 5, 1, 1, 0, 4, 8]"
16,"[[0], [2, 2], [], [], [], [0, 0, 0], [2, 4, 2, 4, 1, 0]]",24.842556640818113,4,2.4+(2.4)+(1.0),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 0, 0, 3, 6]"
17,"[[0], [1, 2, 1, 1, 2], [], [0, 0, 1], [], [0, 0, 0], [3, 7, 1, 1, 6, 0]]",24.92428220261662,8,3.7+(_exp_(-(1.1)))+(_exp_(-(_exp_(6.0)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 5, 0, 3, 0, 3, 6]"
18,"[[0], [1, 1, 1, 1, 1, 2, 0, 2, 1, 1, 3], [2], [0, 1, 0, 1, 0, 0, 0], [0], [0, 0, 0], [1, 0, 3, 0, 2, 7]]",24.95996560309822,14,1.0+(_exp_(-(_exp_(_exp_(-(_exp_(_exp_(-(3.0)))))))))+((2.7)*(_exp_(-(_exp_(-(x[0])))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 11, 1, 7, 1, 3, 6]"
19,"[[0], [2, 1, 2], [], [0], [], [0, 0, 0], [1, 9, 1, 3, 0, 2]]",24.976615754393006,6,1.9+(1.3)+(_exp_(-(0.2))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 0, 1, 0, 3, 6]"
20,"[[0], [1, 0, 1, 2, 2, 2], [0], [0, 0], [], [0, 0, 0, 0], [2, 1, 1, 8, 4, 7, 3, 8]]",25.25030886928065,9,2.1+(_exp_(-((_exp_(-(1.8)))+(4.7))))+(3.8),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 6, 1, 2, 0, 4, 8]"
21,"[[0], [0, 1, 1, 2, 2, 1, 3], [1], [0, 0, 0], [0], [0, 0, 0], [9, 8, 3, 9, 4, 9]]",25.346508774533167,9,9.8+((_exp_(-(_exp_(-(3.9)))))-(4.9))+(_exp_(-(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 7, 1, 3, 1, 3, 6]"
22,"[[0], [1, 0, 3, 3, 0, 1, 2, 1, 1, 3], [0, 2], [0, 1, 0, 0], [0, 0, 0], [0, 0], [1, 1, 1, 0]]",25.484709992414114,8,1.1+(_exp_(-((x[0])+(x[0]))))+((_exp_(1.0))*(_exp_(-(_exp_(-(x[0])))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 10, 2, 4, 3, 2, 4]"
23,"[[0], [2, 1, 3], [], [0], [0], [0, 0], [3, 0, 3, 0]]",25.83997402734425,5,3.0+(3.0)+(_exp_(-(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 0, 1, 1, 2, 4]"
24,"[[0], [0, 0, 1, 1, 2, 0, 3, 3, 2, 2], [3, 0, 3], [0, 1], [0, 0], [0, 0, 0, 0], [1, 4, 1, 4, 5, 9, 4, 7]]",26.097428009605977,10,1.4+(((_exp_(-(_exp_(1.4))))|_div_|((x[0])+(x[0])))|_div_|(5.9))+(4.7),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 10, 3, 2, 2, 4, 8]"
25,"[[0], [2, 2], [], [], [], [0, 0, 0], [0, 2, 1, 0, 5, 1]]",27.05540333679707,4,0.2+(1.0)+(5.1),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 0, 0, 3, 6]"
26,"[[0], [0, 1, 2, 0, 2, 0, 1, 3, 3, 2], [1, 3, 0], [0, 0], [0, 0], [0, 0, 0, 0], [4, 9, 3, 0, 8, 7, 1, 5]]",27.207687656498166,8,4.9+((_exp_(-(3.0)))-((8.7)|_div_|((_exp_(-(x[0])))+(x[0]))))+(1.5),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 10, 3, 2, 2, 4, 8]"
27,"[[0], [2, 0, 1, 3, 0, 2, 0, 2, 3], [3, 3, 2], [0], [0, 0], [0, 0, 0, 0], [5, 5, 0, 7, 1, 3, 7, 8]]",27.450338189272436,7,5.5+(0.7)+((_exp_(-(x[0])))|_div_|((1.3)|_div_|((7.8)*(x[0])))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 9, 3, 1, 2, 4, 8]"
28,"[[0], [1, 1, 1, 1, 2, 2], [], [1, 0, 0, 1], [], [0, 0, 0], [0, 5, 8, 7, 3, 2]]",27.687931684398617,12,0.5+(_exp_(_exp_(-(_exp_(-(_exp_(8.7)))))))+(3.2),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 6, 0, 4, 0, 3, 6]"
