,genotype,fitness,mapping_values,tree_depth,phenotype,other_info
0,"[[0], [1, 2, 1, 1, 0, 0, 1, 3, 1, 1, 2, 1, 3], [3, 2, 3], [0, 0, 0, 0, 0, 1, 0], [0, 0], [0, 0, 0, 0, 0], [4, 2, 8, 3, 5, 0, 1, 3, 8, 5]]",21.595468451170312,"[1, 13, 2, 7, 2, 3, 6]",14,4.2+(_exp_(-(8.3)))+(_exp_(-(_exp_(-(((_exp_(-(x[0])))|_div_|(_exp_(-(_exp_(5.0)))))*(_exp_(-(x[0])))))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
1,"[[0], [1, 0, 1, 2, 3, 2], [2], [0, 0], [0], [0, 0, 0], [1, 4, 3, 8, 3, 2]]",22.321089654138593,"[1, 6, 1, 2, 1, 3, 6]",9,1.4+(_exp_(-((_exp_(-(3.8)))*(x[0]))))+(3.2),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
2,"[[0], [1, 0, 2, 2, 1, 0, 3, 0, 2, 2, 3, 1, 0, 2, 0], [2, 3, 2, 3], [0, 0, 0, 1, 0], [0, 0], [0, 0, 0, 0, 0, 0, 0], [4, 3, 0, 8, 1, 6, 8, 4, 8, 8, 0, 7, 7, 4]]",22.335830569594233,"[1, 10, 3, 2, 1, 5, 10]",8,4.3+(_exp_(-((0.8)*(1.6))))+(_exp_(-((x[0])|_div_|((8.4)*(8.8))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
3,"[[0], [1, 1, 0, 2, 3, 0, 1, 1, 1, 0, 0, 3, 2, 2, 1, 2], [3, 1, 1, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0], [2, 0, 8, 9, 1, 3, 9, 0, 4, 3]]",22.483379711272057,"[1, 16, 4, 6, 2, 5, 10]",13,2.0+(_exp_(-(_exp_(-((8.9)|_div_|(x[0]))))))+((_exp_(_exp_(-(_exp_(-(((x[0])-(1.3))-(9.0)))))))+(_exp_(-(4.3)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
4,"[[0], [1, 0, 3, 1, 2, 1, 3], [2, 1], [0, 0, 0], [0, 0], [0, 0, 0, 0], [4, 6, 3, 9, 3, 6, 7, 2]]",22.508776898160967,"[1, 7, 1, 3, 2, 2, 4]",9,4.6+(_exp_(-((x[0])*(_exp_(-(3.9))))))+(_exp_(-(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
5,"[[0], [2, 1, 1, 0, 3, 0, 2, 1, 3], [1, 1], [0, 0, 0], [0, 0], [0, 0, 0], [1, 6, 2, 4, 4, 1]]",22.675683774429963,"[1, 9, 2, 3, 2, 3, 6]",11,1.6+(2.4)+(_exp_(-(_exp_(-((x[0])-((4.1)-(_exp_(-(x[0]))))))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
6,"[[0], [1, 2, 1, 1, 0, 0, 1, 3, 3, 2, 2, 1, 3], [3, 2, 3], [0, 1, 0, 0, 1, 1, 0], [0, 0], [0, 0, 0, 0], [2, 2, 4, 9, 3, 2, 3, 9]]",22.724816799088646,"[1, 10, 2, 4, 2, 3, 6]",11,2.2+(_exp_(-(4.9)))+(_exp_(_exp_(-(((_exp_(-(x[0])))|_div_|(x[0]))*(3.2))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
7,"[[0], [2, 1, 1, 0, 3, 2, 3, 2], [1, 0], [0, 0, 0], [0], [0, 0, 0, 0], [3, 8, 0, 2, 1, 7, 3, 8]]",22.76000694171881,"[1, 6, 1, 2, 1, 3, 6]",9,3.8+(0.2)+(_exp_(-(_exp_(-((x[0])-(1.7)))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
8,"[[0], [1, 0, 1, 0, 2, 1, 0, 0, 0, 0, 1, 1, 1, 0, 3, 0, 1, 3, 3, 2, 2, 0, 0, 3, 1, 0, 1, 3, 1, 3, 0, 2, 1, 1, 1, 0, 2, 2, 3, 1, 3, 2], [1, 2, 2, 0, 2, 2, 2, 2, 2, 3, 2, 3, 1], [1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [2, 7, 0, 8, 1, 7, 4, 8, 6, 3, 9, 9, 4, 3, 0, 0]]",22.77270319286214,"[1, 42, 13, 14, 8, 8, 16]",25,2.7+(_exp_((_exp_((0.8)-(_exp_(((((_exp_(-(_exp_(_exp_(-((x[0])*((_exp_(-(x[0])))*(x[0]))))))))+(1.7))*(4.8))*(((x[0])*(_exp_(-((_exp_(x[0]))*(_exp_(x[0]))))))*((6.3)|_div_|(_exp_(_exp_(-(_exp_(-((9.9)*(4.3))))))))))|_div_|(x[0])))))-(_exp_(-(x[0])))))+(0.0),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
9,"[[0], [1, 1, 0, 3, 3, 1, 1, 1, 3, 2], [1, 2], [0, 0, 1, 0, 0, 0], [0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 8, 6, 0, 7, 4]]",22.784094565422606,"[1, 9, 1, 5, 3, 1, 2]",9,1.8+(_exp_(-(_exp_(-((x[0])-(x[0]))))))+(_exp_(_exp_(-(_exp_(-(x[0])))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
